answers,author,date,tags,title,views,votes
12,'\r\n        Ziggy\r\n        ',,"java,nullpointerexception","'What is a NullPointerException, and how do I fix it?'",3005341,209
23,'Hack-R',,"r,r-faq",'How to make a great R reproducible example',332056,2470
42,'Felix Kling',2013-01-08 17:06:14Z,"javascript,jquery,ajax,asynchronous",'How do I return the response from an asynchronous call?',1593659,5787
28,'Andrew G. Johnson',,"php,mysql,sql,security,sql-injection",'How can I prevent SQL injection in PHP?',1832494,2773
36,'Jeff',,"html,regex,xhtml",'RegEx match open tags except XHTML self-contained tags',3018349,1624
28,'John Saunders',,"c#,.net,vb.net,null,nullreferenceexception","'What is a NullReferenceException, and how do I fix it?'",1491100,1874
23,'\r\n        Nathan H\r\n        ',,"java,string,equality",'How do I compare strings in Java?',4015363,724
28,'Pekka 웃',,"php,arrays,variables,warnings,undefined-index","'“Notice: Undefined variable”, “Notice: Undefined index”, and “Notice: Undefined offset” using PHP'",1848931,1243
31,'Cato Johnston',2009-02-25 21:39:02Z,"math,language-agnostic,floating-point,floating-accuracy",'Is floating point math broken?',347373,3182
1,'sbi',,"c++,c++-faq",'The Definitive C++ Book Guide and List',2501040,4238
12,"""Madara's Ghost""",2012-10-12 13:18:39Z,"php,mysql","""Why shouldn't I use mysql_* functions in PHP?""",229584,2549
34,'Luchian Grigore',2012-09-24 22:27:40Z,"c++,linker-errors,undefined-reference,c++-faq,unresolved-external",'What is an undefined reference/unresolved external symbol error and how do I fix it?',624002,1576
19,'mario',,"php,parsing,debugging,syntax-error",'PHP parse/syntax errors; and how to solve them',593639,684
23,'Eli',2008-10-14 23:25:19Z,"javascript,jquery,events,unobtrusive-javascript",'Event binding on dynamically created elements?',897645,1677
44,'nickf',2009-04-15 06:06:20Z,"javascript,loops,closures",'JavaScript closure inside loops – simple practical example',399155,2929
29,'Patrick McDonald',2009-03-03 10:13:02Z,"c,malloc,casting",'Do I cast the result of malloc?',254988,2499
12,'Felix Kling',2013-11-29 06:13:11Z,"javascript,callback,this",'How to access the correct `this` inside a callback?',453428,1542
1,'HamZa',,regex,'Reference - What does this regex mean?',135235,52
16,'BiGXERO',2012-05-23 05:57:58Z,"excel,vba",'How to avoid using Select in Excel VBA',303783,553
36,'miken32',,"php,debugging,error-handling,warnings,custom-error-handling",'Reference - What does this error mean in PHP?',220481,1173
6,'Fabrício Matté',2014-05-14 23:55:16Z,"javascript,asynchronous",'Why is my variable unaltered after I modify it inside of a function? - Asynchronous code reference',219541,772
27,'user3818620',2014-07-09 02:18:55Z,"php,html,email","""PHP mail function doesn't complete sending of e-mail""",388323,494
11,'Moses89',,"php,header",'How to fix “Headers already sent” error in PHP',1532853,831
13,'Nate',2012-07-04 01:53:36Z,"mysql,sql,quotes","'When to use single quotes, double quotes, and backticks in MySQL'",220451,663
16,'mercutio',2008-11-10 21:04:56Z,"php,mysql,linux,apache,utf-8",'UTF-8 all the way through',164800,1229
84,'user4315',,"java,methods,parameter-passing,pass-by-reference,pass-by-value",'Is Java “pass-by-reference” or “pass-by-value”?',2086518,6856
39,'akbiggs',2009-09-21 03:08:23Z,"c++,namespaces,std,using-directives,c++-faq",'Why is “using namespace std;” considered bad practice?',874758,2798
30,'RobertPitt',,"php,xml,parsing,xml-parsing,html-parsing",'How do you parse and process HTML/XML in PHP?',430003,2169
17,'MainID',2009-01-30 10:06:50Z,"c++,templates,undefined-reference,c++-faq",'Why can templates only be implemented in the header file?',545842,1884
9,'Felix Kling',2012-12-25 08:26:26Z,"javascript,jquery,dom",'Why does jQuery or a DOM method such as getElementById not find the element?',131977,509
1,'siopaoman',2014-03-26 13:27:38Z,"php,mysqli,prepared-statement,environment,error-reporting",'mysqli_fetch_assoc() expects parameter / Call to a member function bind_param() errors. How to get the actual mysql error and fix it?',34241,120
4,'MAK',2011-04-09 12:49:36Z,"c++,iostream,c++-faq",'Why is iostream::eof inside a loop condition (i.e. `while (!stream.eof())`) considered wrong?',68805,614
27,'Felix Kling',2012-08-12 13:02:12Z,"javascript,arrays,object,nested,data-manipulation","'How can I access and process nested objects, arrays or JSON?'",767278,925
4,'Richard Knop',2011-04-21 07:56:11Z,"php,mysql,sql,security,sql-injection",'SQL injection that gets around mysql_real_escape_string()',253018,681
5,'Marius',2013-11-20 23:31:39Z,"python,pandas",'How to make good reproducible pandas examples',27014,220
31,'iamjonesy',2010-06-04 10:18:08Z,"php,mysql",'mysql_fetch_array()/mysql_fetch_assoc()/mysql_fetch_row()/mysql_num_rows etc… expects parameter 1 to be resource',753628,970
4,'deceze',2012-12-12 13:03:00Z,"javascript,php,client-side,server-side",'What is the difference between client-side and server-side programming?',43869,517
21,'blekione',2012-10-27 16:37:01Z,"java,io,java.util.scanner",'Scanner is skipping nextLine() after using next() or nextFoo()?',561872,745
3,'kael',2016-08-12 16:36:26Z,"android,datetime,android-gradle-plugin,threetenbp,threetenabp",'How to use ThreeTenABP in Android Project',27358,202
25,'user1877442',2013-02-27 12:26:23Z,"python,if-statement,comparison,match,boolean-logic",'How to test multiple variables against a value?',295324,689
26,'Aaron',2011-04-05 15:54:03Z,java,'What causes a java.lang.ArrayIndexOutOfBoundsException and how do I prevent it?',690698,314
5,'William Pursell',2011-03-25 11:42:33Z,"c,file,while-loop,eof,feof",'Why is “while ( !feof (file) )” always wrong?',234856,593
8,'fredoverflow',2010-11-13 13:27:09Z,"c++,copy-constructor,assignment-operator,c++-faq,rule-of-three",'What is The Rule of Three?',296673,2225
20,'nhaarman',2014-04-28 23:55:14Z,"java,android,debugging,kotlin",'Unfortunately MyApp has stopped. How can I solve this?',469633,816
22,'Maxim Gershkovich',2010-06-27 13:12:56Z,"javascript,this",'How does the “this” keyword work?',412859,1352
21,'Kevin',,"python,validation,loops,python-3.x,user-input",'Asking the user for input until they give a valid response',607541,611
86,'Zaheer Ahmed',,"javascript,function,variables,scope,closures",'How do JavaScript closures work?',1483591,7633
33,'Simon',2009-02-03 22:31:02Z,"python,list,slice,iterable",'Understanding slice notation',1965281,3617
16,'Charles Anderson',2008-10-27 14:57:22Z,"python,list,nested-lists,mutable",'List of lists changes reflected across sublists unexpectedly',41044,711
61,'bejoy george',2011-06-14 12:02:00Z,"java,android,android-networking,networkonmainthread","""How to fix 'android.os.NetworkOnMainThreadException'?""",1270664,2479
answers,author,date,tags,title,views,votes
12,"
        Ziggy
        ",,"java,nullpointerexception","What is a NullPointerException, and how do I fix it?",3005406,209
23,Hack-R,,"r,r-faq",How to make a great R reproducible example,332062,2470
42,Felix Kling,2013-01-08 17:06:14Z,"javascript,jquery,ajax,asynchronous",How do I return the response from an asynchronous call?,1593693,5787
28,Andrew G. Johnson,,"php,mysql,sql,security,sql-injection",How can I prevent SQL injection in PHP?,1832510,2773
36,Jeff,,"html,regex,xhtml",RegEx match open tags except XHTML self-contained tags,3018377,1624
28,John Saunders,,"c#,.net,vb.net,null,nullreferenceexception","What is a NullReferenceException, and how do I fix it?",1491153,1874
23,"
        Nathan H
        ",,"java,string,equality",How do I compare strings in Java?,4015383,724
28,Pekka 웃,,"php,arrays,variables,warnings,undefined-index","“Notice: Undefined variable”, “Notice: Undefined index”, and “Notice: Undefined offset” using PHP",1848962,1243
31,Cato Johnston,2009-02-25 21:39:02Z,"math,language-agnostic,floating-point,floating-accuracy",Is floating point math broken?,347378,3182
1,sbi,,"c++,c++-faq",The Definitive C++ Book Guide and List,2501078,4238
12,Madara's Ghost,2012-10-12 13:18:39Z,"php,mysql",Why shouldn't I use mysql_* functions in PHP?,229589,2549
34,Luchian Grigore,2012-09-24 22:27:40Z,"c++,linker-errors,undefined-reference,c++-faq,unresolved-external",What is an undefined reference/unresolved external symbol error and how do I fix it?,624011,1576
19,mario,,"php,parsing,debugging,syntax-error",PHP parse/syntax errors; and how to solve them,593663,684
23,Eli,2008-10-14 23:25:19Z,"javascript,jquery,events,unobtrusive-javascript",Event binding on dynamically created elements?,897669,1677
44,nickf,2009-04-15 06:06:20Z,"javascript,loops,closures",JavaScript closure inside loops – simple practical example,399162,2929
29,Patrick McDonald,2009-03-03 10:13:02Z,"c,malloc,casting",Do I cast the result of malloc?,254994,2499
12,Felix Kling,2013-11-29 06:13:11Z,"javascript,callback,this",How to access the correct `this` inside a callback?,453439,1542
1,HamZa,,regex,Reference - What does this regex mean?,135237,52
16,BiGXERO,2012-05-23 05:57:58Z,"excel,vba",How to avoid using Select in Excel VBA,303784,553
36,miken32,,"php,debugging,error-handling,warnings,custom-error-handling",Reference - What does this error mean in PHP?,220487,1173
6,Fabrício Matté,2014-05-14 23:55:16Z,"javascript,asynchronous",Why is my variable unaltered after I modify it inside of a function? - Asynchronous code reference,219545,772
27,user3818620,2014-07-09 02:18:55Z,"php,html,email",PHP mail function doesn't complete sending of e-mail,388340,494
11,Moses89,,"php,header",How to fix “Headers already sent” error in PHP,1532898,831
13,Nate,2012-07-04 01:53:36Z,"mysql,sql,quotes","When to use single quotes, double quotes, and backticks in MySQL",220453,663
